,Df,Sum Sq,Mean Sq,F value,Pr(>F),Eta_Squared
t_detrended,1,360.3113097,360.3113097,0.047257424,0.82840379,0.000326945
RH_detrended,1,314965.5483,314965.5483,41.31000072,6.27E-09,0.285798844
windspeed_detrended,1,108152.4022,108152.4022,14.1849667,0.000297019,0.098137182
Residuals,89,678575.0014,7624.438218,NA,NA,0.615737028
,,,,,,
,,,,,,
Analysis of Variance Table,,,,,,
,,,,,,
Response: rainfall_detrended,,,,,,
                    Df Sum Sq Mean Sq F value    Pr(>F)    ,,,,,,
t_detrended          1    360     360  0.0473  0.828404    ,,,,,,
RH_detrended         1 314966  314966 41.3100 6.267e-09 ***,,,,,,
windspeed_detrended  1 108152  108152 14.1850  0.000297 ***,,,,,,
Residuals           89 678575    7624                      ,,,,,,
---,,,,,,
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1,,,,,,
